title,company,location,salary_min,salary_max,salary_midpoint,years_experience,level,skills,source,posted_date
"Senior Database Administrator (PostgreSQL, AWS, Agile)",Katalon,Hồ Chí Minh,25.0,45.0,35.0,4,Senior,"Database, System Admin, Dba, Postgresql, Cloud, AWS, Agile",ITviec,
"Sr Java Fullstack Developer (VueJS, Angular) - 4B059",TNEX,Hà Nội,25.0,45.0,35.0,4,Senior,"Java, Spring, Mysql, Next.js, Angular, Vue.js",ITviec,
Deputy Head of Machine Learning Engineering,MB Bank,Hà Nội,57.5,103.5,80.5,7,Senior,"Mlops, Fastapi, Gitlab Ci, Docker, Python, Machine Learning",ITviec,
Senior Machine Learning Engineer,MB Bank,Hà Nội,28.7,51.7,40.2,4,Senior,"Mlops, Data Engineering, Machine Learning, Gitlab Ci, Python, Docker",ITviec,
IT Business Analyst,Live Payments,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Agile, English, Business Analysis, Scrum",ITviec,
IT Helpdesk,One Mount Group,Hà Nội,12.0,20.0,16.0,2,Junior,"It Support, System Admin, Windows",ITviec,
"Automotive Software Engineer (C++, OOP, Middleware)",LG Electronics Development Vietnam (LGEDV),Hà Nội,18.0,30.0,24.0,3,Middle,"C++, Middleware, Linux, Oop, Embedded",ITviec,
"Senior QA Engineer (Tester, Japanese N2+)","ANDPAD VietNam Co., Ltd",Hồ Chí Minh,25.0,45.0,35.0,4,Senior,"QA/QC, Scrum, Japanese, Testing, Agile, English",ITviec,
IT Senior Machine Learning Engineer (AI/ML),Dai-ichi Life Việt Nam,Hồ Chí Minh,28.7,51.7,40.2,4,Senior,"Machine Learning, Llm, Python, AI, English, Deep Learning",ITviec,
IT Project Coordinator,SOLIS LAB,Hà Nội,12.0,20.0,16.0,2,Junior,"English, Project Management, Testing",ITviec,
"DevOps Engineer (AWS, Docker/Kubernetes, System Admin)",i3 DVR International,Hồ Chí Minh,13.8,23.0,18.4,2,Junior,"DevOps, Docker, CI/CD, AWS, Windows, Linux, Kubernetes",ITviec,
Application Support Analyst,De Heus Asia,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"It Communication/Translation, Incident Response, Business Analysis, It Support",ITviec,
"Senior Golang Developer (Backend, AWS, MySQL)","ANDPAD VietNam Co., Ltd",Hồ Chí Minh,25.0,45.0,35.0,4,Senior,"Go, Design Systems, Unit Test, AI, AWS, English, MySQL",ITviec,
"Shopify Team Lead (Fullstack, JavaScript, HTML, CSS)",SHOPSTACK VIETNAM,Hà Nội,35.0,65.0,50.0,5,Senior,"JavaScript, HTML, Fullstack, Leadership, Team Management, Shopify, CSS",ITviec,
"Senior/Principal Ruby on Rails Developer (AWS, Backend)","ANDPAD VietNam Co., Ltd",Hồ Chí Minh,57.5,103.5,80.5,7,Senior,"Ruby On Rails, English, Design Systems, Ruby, Microservices, AWS",ITviec,
Principal Frontend Engineer (ReactJS/ VueJS),"ANDPAD VietNam Co., Ltd",Hồ Chí Minh,50.0,90.0,70.0,7,Senior,"React, Unit Test, Vue.js, Microservices, JavaScript, English",ITviec,
Solution Engineer,CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY ĐA NĂNG VINMOTION,Hà Nội,12.0,20.0,16.0,2,Junior,"System Architecture, Solution Architecture",ITviec,
[Relocate Danang] PMO/ Software Tester (Japanese N2),NEC Vietnam,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Project Management, Pqa, QA/QC, Japanese It Communication, Japanese, Testing",ITviec,
IT Infrastructure Expert,One Mount Group,Hà Nội,25.0,45.0,35.0,2,Senior,"Firewall, Linux, Kubernetes",ITviec,
Project Leader/ Project Manager (Japanese N2+),NEC Vietnam,Hà Nội,35.0,65.0,50.0,5,Senior,"Bridge Engineer, Japanese It Communication, Java, C#, Japanese, Project Management",ITviec,
OT Security Engineer,One Mount Group,Hà Nội,12.0,20.0,16.0,2,Junior,"Cybersecurity, Splunk, Siem, Iot, Firewall, Networking",ITviec,
Infrastructure & DevOps Engineer,Dirox,Hồ Chí Minh,13.8,23.0,18.4,2,Junior,"AWS, Security, Kubernetes, Google Cloud, Azure, DevOps",ITviec,
Python Developer,Accenture,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Python, API, AWS",ITviec,
"Front-End Developer (PHP, Javascript, HTML, CSS)",IncepIT,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"JavaScript, AWS, Mysql, Linux, HTML, Php, CSS",ITviec,
AI Developer,Ngân hàng TMCP Phương Đông | OCB,Hồ Chí Minh,13.8,23.0,18.4,2,Junior,"Python, Databricks, Fastapi, Docker, Computer Vision, Llm, AI",ITviec,
Senior Embedded Software Engineer,DXC Luxoft Vietnam,Hồ Chí Minh,25.0,45.0,35.0,4,Senior,"C++, English, Linux, Embedded C",ITviec,
"Middle/Senior Data Engineer (GCP Platform, Python, SQL)",Finhay,Hà Nội,28.7,51.7,40.2,4,Senior,"Data Engineering, Kafka, CI/CD, SQL, Python, Gcp",ITviec,
Frontend Developer (Shopify/Wordpress Developer),SOLIS LAB,Hà Nội,12.0,20.0,16.0,2,Junior,"JavaScript, HTML, Vue.js, React, TypeScript, CSS",ITviec,
Associate Product Owner (IT Comtor),ITviec Recruitment Consulting,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Product Owner, It Communication/Translation, Japanese It Communication, Japanese",ITviec,
CVCC Quản trị mạng & ANTT (Network Security),Công ty Cổ phần Thanh toán số MobiFone,Hà Nội,12.0,20.0,16.0,2,Junior,"Networking, Firewall, Enterprise Architecture, Security",ITviec,
[HAN] Bridge System Engineer (Japanese N2) | Up to 60M,Hybrid Technologies,Hà Nội,12.0,20.0,16.0,2,Junior,"Japanese, Japanese It Communication, Agile, Design Systems, Java, Php",ITviec,
"Senior Cybersecurity Engineer - Incident Response, SIEM",CTCP SÀN GIAO DỊCH TÀI SẢN MÃ HÓA VIỆT NAM THỊNH VƯỢNG (CAEX),Hà Nội,25.0,45.0,35.0,4,Senior,"Cybersecurity, Firewall, Malware Analysis, Digital Forensics, Incident Response, Siem",ITviec,
Bridge System Engineer,TPS Software,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Bridge Engineer, Japanese It Communication, Japanese",ITviec,
Chuyên viên tư vấn thiết kế giải pháp CNTT,Trung tâm công nghệ thông tin MobiFone,Hà Nội,18.0,30.0,24.0,3,Middle,"Solution Architecture, Networking, Kubernetes, Cloud, Vmware, Linux",ITviec,
Chuyên viên Phân tích nghiệp vụ,Trung tâm công nghệ thông tin MobiFone,Hà Nội,18.0,30.0,24.0,3,Middle,"Business Analysis, AI, Figma",ITviec,
Chuyên viên Triển khai và Vận hành Hạ tầng CNTT,Trung tâm công nghệ thông tin MobiFone,Hà Nội,20.7,34.5,27.6,3,Middle,"Solution Architecture, Vmware, Kubernetes, Networking, Linux, Cloud",ITviec,
Chuyên viên quản lý dự án CNTT,Trung tâm công nghệ thông tin MobiFone,Hà Nội,18.0,30.0,24.0,3,Middle,"Project Management, Trello, Jira, Scrum",ITviec,
"Chuyên viên Giải pháp Cloud, Data Center và ATTT",Trung tâm công nghệ thông tin MobiFone,Hà Nội,20.7,34.5,27.6,3,Middle,"Cloud, JavaScript, Oracle, Linux, Vmware, Kubernetes",ITviec,
"[Hanoi] Senior Platform Engineer (SRE, DevOps)","MONEY FORWARD VIETNAM CO.,LTD",Hà Nội,28.7,51.7,40.2,4,Senior,"DevOps, Kubernetes, Docker, Cloud, AWS, Terraform",ITviec,
Junior Android Developer (Kotlin/Java),Motorist Pte Ltd,Hồ Chí Minh,12.0,20.0,16.0,1,Junior,"Android, Java, Database, Oop, Kotlin, English",ITviec,
Business Analyst Officer,Motorist Pte Ltd,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Business Intelligence, Product Owner, Business Analysis, Ui-Ux, Product Management, Agile",ITviec,
"Junior Web Developer (Ruby on Rails, ReactJS, VueJS)",Motorist Pte Ltd,Hồ Chí Minh,13.8,23.0,18.4,1,Junior,"Ruby On Rails, Vue.js, Angular, React, Php, Node.js, Ruby",ITviec,
"AI Engineer (Python, Machine Learning)",FPT Digital,Hà Nội,13.8,23.0,18.4,2,Junior,"Python, AI, Mongodb, Llm, Deep Learning, Machine Learning",ITviec,
"Data Engineer (Python, SQL, Power BI)",FPT Digital,Hồ Chí Minh,13.8,23.0,18.4,2,Junior,"Data Modeling, Data Engineering, Power BI, SQL, Data Warehousing, Python",ITviec,
Analyst & Optimization Specialist (Python/C++),Công ty cổ phần hàng hải Vsico,Hà Nội,12.0,20.0,16.0,2,Junior,"Python, Data Analysis, Algorithms, C++",ITviec,
Chuyên viên An toàn thông tin,Viettel Group,Hà Nội,18.0,30.0,24.0,3,Middle,"Security, Software Architecture",ITviec,
"Application Support Engineer (Java, Oracle, SQL)",Vietnamobile,Hà Nội,12.0,20.0,16.0,2,Junior,"Java, SQL, API, Linux, It Support, Oracle",ITviec,
Head of Engineering / Lead Technical Product Manager,OLLI,Hồ Chí Minh,50.0,90.0,70.0,7,Senior,"Product Management, Linux, Embedded, Leadership, Iot, Firmware",ITviec,
Engineering Manager (Adobe Product Suite) - Martech,NAB Innovation Centre Vietnam,Hồ Chí Minh,35.0,65.0,50.0,5,Senior,"Adobe, Data Engineering, DevOps, Java, Stakeholder Management, Team Management",ITviec,
Head of Engineering - Marketing Technology,NAB Innovation Centre Vietnam,Hồ Chí Minh,50.0,90.0,70.0,7,Senior,"Team Management, Data Engineering, Java, Adobe, Project Management, Stakeholder Management",ITviec,
"Business Analyst - Việt Nam Market (BRD/SRS, BPMN, UML)",RIKKEISOFT,Hà Nội,25.0,45.0,35.0,4,Senior,"Business Analysis, Agile, Uml, Srs, Brd, Bpmn",ITviec,
"Engineering Manager (ML, Rust, Agile, API)","CADDI VIETNAM Co., Ltd.",Hồ Chí Minh,35.0,65.0,50.0,5,Senior,"Project Management, Machine Learning, API, Agile, Google Cloud, Rust",ITviec,
"Sr Fullstack Engineer (ReactJS, TypeScript, PostgreSQL)","CADDI VIETNAM Co., Ltd.",Hồ Chí Minh,25.0,45.0,35.0,4,Senior,"Fullstack, TypeScript, React, English, Postgresql, Next.js",ITviec,
"QA Lead (Tester, Agile, English)","CADDI VIETNAM Co., Ltd.",Hồ Chí Minh,35.0,65.0,50.0,5,Senior,"QA/QC, Testing, Agile, English, Strategy Planning, Team Management",ITviec,
"Analysis Platform MLOps (DevOps, TypeScript, Python)","CADDI VIETNAM Co., Ltd.",Hồ Chí Minh,13.8,23.0,18.4,2,Junior,"DevOps, Python, TypeScript, Kubernetes, Google Cloud, Mlops",ITviec,
Robotics System Expert,CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY ĐA NĂNG VINMOTION,Hà Nội,25.0,45.0,35.0,2,Senior,"English, Ros2, Ros, Robotics, Slam, Python",ITviec,
"Data Engineer (English required, Ho Chi Minh/Ha Noi)",Fullerton Health,Hồ Chí Minh,13.8,23.0,18.4,2,Junior,"Data Engineering, AI, Azure, SQL, Python, English",ITviec,
Principal “AI-native” Software Architect,Koidra Tech,Hồ Chí Minh,57.5,103.5,80.5,7,Senior,"Rust, English, AI, TypeScript, Pytorch, Python",ITviec,
"Security Specialist (EDR, IAM, Networking)","MONEY FORWARD VIETNAM CO.,LTD",Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Information Security, Networking, Firewall, Risk Assessment / Bcp, Identity & Access Management, Edr",ITviec,
Nexacro Developer,Hitachi Digital Services,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"JavaScript, Winforms, Java, Spring Boot",ITviec,
Product Growth Lead (Mobile Apps),MAPLE LABS,Hồ Chí Minh,35.0,65.0,50.0,5,Senior,"Product Management, Mobile Apps, Agile, Product Owner, AI",ITviec,
Hybrid - Scrum Master,MEALSUITE,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Scrum, Design, English, Agile, Sass, AI",ITviec,
"Đà Nẵng - AI Engineer (Python, R, Machine Learning)",VNEXT SOFTWARE,Đà Nẵng,13.8,23.0,18.4,2,Junior,"AI, R, Python, Computer Vision, Deep Learning, Machine Learning",ITviec,
Senior IT Project Manager,One Mount Group,Hà Nội,35.0,65.0,50.0,5,Senior,"Project Management, Waterfall Methodology",ITviec,
[Da Nang] Product Owner,ONE Tech Stop Vietnam Company Ltd,Đà Nẵng,12.0,20.0,16.0,2,Junior,"Product Owner, Business Analysis, Ui-Ux, Agile, English",ITviec,
"Solution Architect - AI Domain, Cloud, Kubernetes",CÔNG TY CỔ PHẦN CMC OPENAI,Hà Nội,40.2,74.8,57.5,7,Senior,"Solution Architecture, Mlops, Kubernetes, Software Architecture, Cloud, AI",ITviec,
[Remote] Junior Web and Graphic Designer,Synemos GmbH,Hồ Chí Minh,12.0,20.0,16.0,1,Junior,"Design, Product Canvas, CSS, HTML, JavaScript, Ui-Ux",ITviec,
Data Scientist - Data Division,MB Bank,Hà Nội,12.0,20.0,16.0,2,Junior,"Data Science, Spark, Keras, Deep Learning, Machine Learning, Matlab",ITviec,
"Market Risks Modelling Specialist, Senior Specialist",MB Bank,Hà Nội,25.0,45.0,35.0,4,Senior,"SQL, Power BI, Python, Vba",ITviec,
"Senior Product Owner (Jira, SQL, Figma)",Crossian,Hà Nội,25.0,45.0,35.0,4,Senior,"Product Owner, Erp, AI, Figma, SQL, Jira",ITviec,
"Senior Data / Platform Engineer (AI, AWS, Azure, GCP)",ERRIA GROUP,Hồ Chí Minh,28.7,51.7,40.2,4,Senior,"Data Engineering, Azure, AWS, Cloud, AI, Gcp",ITviec,
"AI Agent Engineer (LLM, API)",ERRIA GROUP,Hồ Chí Minh,13.8,23.0,18.4,2,Junior,"AI, Prompt Engineering, API, Llm",ITviec,
Data Quality Management Specialist - Data Division,MB Bank,Hà Nội,12.0,20.0,16.0,2,Junior,"Data Privacy / Compliance, Cloud Security, Data Quality Tools, Data Science",ITviec,
Senior Data Security - Data Division,MB Bank,Hà Nội,25.0,45.0,35.0,4,Senior,"Security, It Governance, Governance, Risk & Compliance, Cloud Security, Information Security",ITviec,
Lead/ Senior Automation Test Engineer,KMS Technology,Hồ Chí Minh,35.0,65.0,50.0,5,Senior,"Automation Test, Playwright, Selenium, Java, TypeScript, JavaScript, Automation Testing",ITviec,
Senior Business Analyst (Payment & Switching Systems),One Mount Group,Hà Nội,25.0,45.0,35.0,4,Senior,"Business Analysis, SQL, AI, Jira",ITviec,
Fullstack Java Developer (Good At English),LG CNS Việt Nam,Hà Nội,12.0,20.0,16.0,2,Junior,"Java, Spring Boot, Spring, JavaScript, Html5, English",ITviec,
Product Manager (Japanese Required),"MONEY FORWARD VIETNAM CO.,LTD",Hồ Chí Minh,35.0,65.0,50.0,5,Senior,"Product Management, Product Roadmap, Product Strategy, Product Owner, Japanese, English",ITviec,
"[Middle, Senior] BackEnd Engineer (Java, Go)",MB Bank,Hà Nội,25.0,45.0,35.0,4,Senior,"Java, Mongodb, Go, Spring Boot, Oracle, Mysql",ITviec,
Automation Testing Software Engineer,Datalogic Việt Nam,Hồ Chí Minh,12.0,20.0,16.0,2,Junior,"Testing, API, Automation Test, Selenium, Java, Automation Testing",ITviec,
AI Software Engineer (Python/Go/C/C++ & AI Agents),MB Bank,Hà Nội,13.8,23.0,18.4,2,Junior,"Python, Fastapi, Docker, Go, AI, C++",ITviec,
"Senior AI Expert (Machine Learning, Deep Learning, LLM)",MB Bank,Hà Nội,28.7,51.7,40.2,4,Senior,"AI, Llm, Deep Learning, Machine Learning, Computer Vision, NLP",ITviec,
Chuyên Viên Kinh Doanh B2B (Data Sẵn) - Lương Upto 30Tr/tháng,CÔNG TY TNHH HOÁ ĐƠN ĐIỆN TỬ M-INVOICE,Hà Nội,10.0,30.0,20.0,3,Middle,,VietnamWorks,2026-06-16
General Accounting Executive,"TDI APJ VIETNAM CO., LTD.",Hồ Chí Minh,12.0,20.0,16.0,2,Junior,,VietnamWorks,2026-06-16
Trợ Lý Tư Vấn ERP (Yêu Cầu Tiếng Trung),"Yonyou Network Technology Co., Ltd",Hồ Chí Minh,15.0,25.0,20.0,2,Junior,,VietnamWorks,2026-06-16
Quản Lý Đo Lường và Đánh Giá Chất Lượng (MEL Manager),Tổ Chức Onesky,Đà Nẵng,35.0,65.0,50.0,5,Senior,,VietnamWorks,2026-06-16
AI Engineer (Middle Level) (Thu Nhập 20-30 Triệu),K&M Holdings,Hà Nội,20.0,30.0,25.0,3,Middle,AI,VietnamWorks,2026-06-13
Giám Đốc Khách Hàng (Client Director),Chi Nhánh Công Ty Cổ Phần Công Nghệ Thông Tin Truyền Thông Thiên Hy Long Việt Nam,Hà Nội,50.0,90.0,70.0,7,Senior,,VietnamWorks,2026-06-18
[HN] Chuyên Viên Tư Vấn Giải Pháp Chuyển Đổi Số Cho Chính Phủ,Công Ty TNHH Tổng Công Ty Công Nghệ & Giải Pháp CMC (CMC TS),Hà Nội,18.0,30.0,24.0,3,Middle,,VietnamWorks,2026-06-18
User Acquisition Manager (Mobile App Global) Thu Nhập Từ 25 - 40 Triệu++,Công Ty Cổ Phần Công Nghệ Eup,Hà Nội,25.0,40.0,32.5,5,Senior,,VietnamWorks,2026-06-18
"Chuyên Viên Digital Marketing (Facebook Ads, Google Ads)",MISA Jointstock Company,Hà Nội,15.0,30.0,22.5,3,Middle,,VietnamWorks,2026-06-18
Kế Toán Tổng Hợp Ngân Hàng- Thu Nhập Upto 35 Triệu/tháng,CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG TIN NAM Á,Hà Nội,29.8,40.2,35.0,2,Junior,,VietnamWorks,2026-06-17
Bridge Project Manager/accelerator,Công Ty TNHH Money Forward Việt Nam,Hồ Chí Minh,35.0,65.0,50.0,5,Senior,,VietnamWorks,2026-06-11
Mid-Snr Software Engineer,DEKON,Hồ Chí Minh,30.0,45.0,37.5,3,Middle,,VietnamWorks,2026-06-10
Backend Engineer (Middle+) (Thu Nhập 20-30 Triệu),K&M Holdings,Hà Nội,20.0,30.0,25.0,3,Middle,,VietnamWorks,2026-06-10
Technical Lead (Kotlin/ Java/ Spring Ecosystem) Upto $2000,CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ NANO TECHNOLOGIES VIỆT NAM,Hà Nội,37.5,50.0,43.8,5,Senior,"Java, Spring, Kotlin",VietnamWorks,1970-01-01
SAP Consultant,Công Ty TNHH Ajax Systems Việt Nam,Hà Nội,12.0,20.0,16.0,2,Junior,,VietnamWorks,1970-01-01
Chuyên Viên Kiến Trúc Doanh Nghiệp,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
Chuyên Gia Kiến Trúc Doanh Nghiệp,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,25.0,45.0,35.0,5,Senior,,CareerViet,
Chuyên Gia Chiến Lược Công Nghệ,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,25.0,45.0,35.0,5,Senior,,CareerViet,
Phó Phòng Phụ Trách Mảng Kiến Trúc Doanh Nghiệp,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,12.0,20.0,16.0,2,Junior,,CareerViet,
"Chuyên Viên Nghiệp Vụ SAP (SD, WM, MM)",Công ty Cổ phần Đầu tư Asia Dragon,Hồ Chí Minh,18.0,30.0,24.0,3,Middle,,CareerViet,
"Expert, Software Engineering (TechcomLife)",NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Hà Nội,25.0,45.0,35.0,2,Senior,,CareerViet,
"Expert, IT Operations (TechcomLife)",NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Hà Nội,25.0,45.0,35.0,2,Senior,,CareerViet,
Sale Kỹ thuật (Nghỉ T7 CN),Công ty Cổ phần Zodiac Clarity,Hà Nội,15.0,20.0,17.5,2,Junior,,CareerViet,
Chuyên viên/Chuyên viên cao cấp Hạ tầng mạng và Thông tin dữ liệu - Dự án CNTT,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
Chuyên viên cao cấp Vận hành Hệ thống CNTT (Windows Server/AntiVirus/Malware Endpoint),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
IT Application Operations Specialist - Dự án CNTT,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,12.0,20.0,16.0,2,Junior,,CareerViet,
Senior Automation Tester - Dự án CNTT,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,25.0,45.0,35.0,4,Senior,Testing,CareerViet,
Chuyên viên Quản lý thay đổi và Sự cố Công nghệ thông tin - Dự án CNTT,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
IT Project Manager - Dự án CNTT,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,35.0,65.0,50.0,5,Senior,,CareerViet,
IT Service Management Specialist - Dự án CNTT,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,12.0,20.0,16.0,2,Junior,,CareerViet,
Chuyên viên cao cấp Vận hành hạ tầng Cơ sở dữ liệu CNTT,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
Chuyên viên/Chuyên viên cao cấp Vận hành ứng dụng Core - Dự án CNTT,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
Chuyên viên Hệ thống thông tin quản lý tài chính (MIS) - MIS Specialist - Khối Tài chính Kế toán (2026TD456709),Ngân Hàng TMCP Quân Đội,Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
Technical Leader (Hands-on),CÔNG TY CỔ PHẦN SHAT,Hồ Chí Minh,35.0,65.0,50.0,5,Senior,,CareerViet,
AI Operating System & Automation Lead,CÔNG TY TNHH ĐẦU TƯ XNK TÍN VIỆT,Hồ Chí Minh,40.2,74.8,57.5,5,Senior,AI,CareerViet,
Chuyên Gia Tích Hợp Nền Tảng Dữ Liệu,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,25.0,45.0,35.0,5,Senior,,CareerViet,
Chuyên viên triển khai ERP,CÔNG TY CỔ PHẦN BMP GROUP,Hồ Chí Minh,18.0,23.0,20.5,3,Middle,,CareerViet,
Chuyên viên chính/Chuyên viên cao cấp Phân tích nghiệp vụ FM - TNTech - 4Z035,Tập đoàn ROX (ROX Group),Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
Chuyên viên Quản trị dữ liệu – Trung tâm Quản trị và ứng dụng dữ liệu,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
Chuyên viên Phân tích và sản phẩm dữ liệu – Trung tâm Quản trị và ứng dụng dữ liệu,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
Chuyên viên cao cấp phát triển phần mềm - Dự án Travel App - Ngân hàng số,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
Kỹ sư Phân tích nghiệp vụ - Business Analyst,Tổng Công ty Cổ phần Công trình Viettel,Hà Nội,18.0,24.0,21.0,2,Junior,,CareerViet,
Chuyên viên Quản trị Hệ thống và Bảo mật Mạng,CÔNG TY TNHH DẦU KHÍ TRẦN HỒNG QUÂN,Hà Nội,18.0,30.0,24.0,3,Middle,,CareerViet,
Giảng viên Phân tích Dữ liệu Cơ bản (Data Analytics Essentials Lecturer),Chương trình Học viện Công nghệ BKACAD,Hà Nội,25.0,35.0,30.0,2,Junior,,CareerViet,
